text,label
Very disappointed with the quality.,0
Product broke after one use.,0
"Amazing experience, will buy again.",1
Superb quality and fast arrival.,1
Slow delivery and bad packaging.,0
I will never order from here again.,0
It stopped working after a week.,0
Top-notch service and delivery.,1
Worst experience I've had online.,0
It stopped working after a week.,0
Worst experience I've had online.,0
Excellent quality and fast shipping.,1
Customer support was useless.,0
This exceeded my expectations!,1
It stopped working after a week.,0
"Amazing experience, will buy again.",1
I will never order from here again.,0
Excellent quality and fast shipping.,1
It stopped working after a week.,0
"Terrible product, do not buy.",0
Excellent quality and fast shipping.,1
I will never order from here again.,0
Highly recommended for everyone!,1
This exceeded my expectations!,1
Worst experience I've had online.,0
Highly recommended for everyone!,1
Product broke after one use.,0
Highly recommended for everyone!,1
I will never order from here again.,0
Superb quality and fast arrival.,1
Superb quality and fast arrival.,1
Product broke after one use.,0
Product broke after one use.,0
"Amazing experience, will buy again.",1
Product broke after one use.,0
Absolutely fantastic item.,1
Superb quality and fast arrival.,1
I love this product!,1
Very happy with my purchase!,1
I love this product!,1
This exceeded my expectations!,1
Superb quality and fast arrival.,1
Customer support was useless.,0
Worst experience I've had online.,0
"Horrible experience, waste of money.",0
"Horrible experience, waste of money.",0
This exceeded my expectations!,1
Great value for money.,1
Highly recommended for everyone!,1
Slow delivery and bad packaging.,0
This exceeded my expectations!,1
It stopped working after a week.,0
"Horrible experience, waste of money.",0
Not worth the price at all.,0
Not worth the price at all.,0
Slow delivery and bad packaging.,0
Highly recommended for everyone!,1
Top-notch service and delivery.,1
"Amazing experience, will buy again.",1
Product broke after one use.,0
Very disappointed with the quality.,0
It stopped working after a week.,0
"Terrible product, do not buy.",0
Not worth the price at all.,0
"Amazing experience, will buy again.",1
Worst experience I've had online.,0
Customer support was useless.,0
Very disappointed with the quality.,0
Worst experience I've had online.,0
Highly recommended for everyone!,1
I love this product!,1
Superb quality and fast arrival.,1
I love this product!,1
"Horrible experience, waste of money.",0
This exceeded my expectations!,1
Product broke after one use.,0
"Horrible experience, waste of money.",0
Very disappointed with the quality.,0
Top-notch service and delivery.,1
I love this product!,1
I love this product!,1
Very happy with my purchase!,1
"Amazing experience, will buy again.",1
Highly recommended for everyone!,1
Customer support was useless.,0
Very happy with my purchase!,1
It stopped working after a week.,0
"Horrible experience, waste of money.",0
"Horrible experience, waste of money.",0
Excellent quality and fast shipping.,1
Very happy with my purchase!,1
"Horrible experience, waste of money.",0
Worst experience I've had online.,0
I love this product!,1
Not worth the price at all.,0
It stopped working after a week.,0
Great value for money.,1
I will never order from here again.,0
I will never order from here again.,0
Very happy with my purchase!,1
I love this product!,1
Worst experience I've had online.,0
Customer support was useless.,0
Not worth the price at all.,0
Customer support was useless.,0
I love this product!,1
It stopped working after a week.,0
Very disappointed with the quality.,0
Great value for money.,1
Customer support was useless.,0
"Horrible experience, waste of money.",0
Top-notch service and delivery.,1
Excellent quality and fast shipping.,1
Superb quality and fast arrival.,1
Great value for money.,1
Customer support was useless.,0
Superb quality and fast arrival.,1
I will never order from here again.,0
Not worth the price at all.,0
Absolutely fantastic item.,1
I will never order from here again.,0
"Amazing experience, will buy again.",1
Superb quality and fast arrival.,1
Very happy with my purchase!,1
I will never order from here again.,0
"Terrible product, do not buy.",0
This exceeded my expectations!,1
"Amazing experience, will buy again.",1
Top-notch service and delivery.,1
"Terrible product, do not buy.",0
Superb quality and fast arrival.,1
Very disappointed with the quality.,0
It stopped working after a week.,0
Highly recommended for everyone!,1
Very disappointed with the quality.,0
Absolutely fantastic item.,1
I will never order from here again.,0
I love this product!,1
Superb quality and fast arrival.,1
Superb quality and fast arrival.,1
Great value for money.,1
Very happy with my purchase!,1
Very disappointed with the quality.,0
Top-notch service and delivery.,1
Superb quality and fast arrival.,1
Very happy with my purchase!,1
I love this product!,1
Slow delivery and bad packaging.,0
Worst experience I've had online.,0
Product broke after one use.,0
"Amazing experience, will buy again.",1
"Terrible product, do not buy.",0
Worst experience I've had online.,0
Top-notch service and delivery.,1
Absolutely fantastic item.,1
Great value for money.,1
Absolutely fantastic item.,1
"Horrible experience, waste of money.",0
Product broke after one use.,0
Slow delivery and bad packaging.,0
"Terrible product, do not buy.",0
Absolutely fantastic item.,1
Great value for money.,1
Superb quality and fast arrival.,1
Great value for money.,1
Customer support was useless.,0
Great value for money.,1
Very happy with my purchase!,1
Very disappointed with the quality.,0
I love this product!,1
Very disappointed with the quality.,0
Slow delivery and bad packaging.,0
Top-notch service and delivery.,1
I will never order from here again.,0
Top-notch service and delivery.,1
"Amazing experience, will buy again.",1
Worst experience I've had online.,0
"Terrible product, do not buy.",0
It stopped working after a week.,0
"Terrible product, do not buy.",0
"Horrible experience, waste of money.",0
Superb quality and fast arrival.,1
"Terrible product, do not buy.",0
Very disappointed with the quality.,0
Absolutely fantastic item.,1
Very disappointed with the quality.,0
"Horrible experience, waste of money.",0
I love this product!,1
Great value for money.,1
Top-notch service and delivery.,1
Customer support was useless.,0
"Horrible experience, waste of money.",0
Not worth the price at all.,0
I will never order from here again.,0
Very disappointed with the quality.,0
It stopped working after a week.,0
This exceeded my expectations!,1
"Amazing experience, will buy again.",1
Great value for money.,1
Customer support was useless.,0
Worst experience I've had online.,0
I love this product!,1
Absolutely fantastic item.,1
This exceeded my expectations!,1
Slow delivery and bad packaging.,0
Great value for money.,1
I love this product!,1
It stopped working after a week.,0
Slow delivery and bad packaging.,0
I love this product!,1
Very happy with my purchase!,1
Absolutely fantastic item.,1
Product broke after one use.,0
"Terrible product, do not buy.",0
Highly recommended for everyone!,1
Superb quality and fast arrival.,1
Great value for money.,1
Great value for money.,1
Absolutely fantastic item.,1
It stopped working after a week.,0
Superb quality and fast arrival.,1
Worst experience I've had online.,0
It stopped working after a week.,0
Very disappointed with the quality.,0
Absolutely fantastic item.,1
I love this product!,1
"Horrible experience, waste of money.",0
"Amazing experience, will buy again.",1
Excellent quality and fast shipping.,1
Very happy with my purchase!,1
Worst experience I've had online.,0
Not worth the price at all.,0
It stopped working after a week.,0
Product broke after one use.,0
Product broke after one use.,0
Superb quality and fast arrival.,1
This exceeded my expectations!,1
I love this product!,1
Superb quality and fast arrival.,1
Highly recommended for everyone!,1
Excellent quality and fast shipping.,1
I will never order from here again.,0
Not worth the price at all.,0
It stopped working after a week.,0
Not worth the price at all.,0
Slow delivery and bad packaging.,0
I love this product!,1
Superb quality and fast arrival.,1
I will never order from here again.,0
I love this product!,1
Very happy with my purchase!,1
Very disappointed with the quality.,0
Top-notch service and delivery.,1
Superb quality and fast arrival.,1
"Terrible product, do not buy.",0
Top-notch service and delivery.,1
Great value for money.,1
Not worth the price at all.,0
Worst experience I've had online.,0
This exceeded my expectations!,1
"Terrible product, do not buy.",0
Very disappointed with the quality.,0
"Horrible experience, waste of money.",0
I love this product!,1
Superb quality and fast arrival.,1
"Horrible experience, waste of money.",0
"Terrible product, do not buy.",0
This exceeded my expectations!,1
"Terrible product, do not buy.",0
Highly recommended for everyone!,1
Not worth the price at all.,0
Superb quality and fast arrival.,1
"Horrible experience, waste of money.",0
Top-notch service and delivery.,1
It stopped working after a week.,0
Very happy with my purchase!,1
"Amazing experience, will buy again.",1
Excellent quality and fast shipping.,1
Slow delivery and bad packaging.,0
Great value for money.,1
Slow delivery and bad packaging.,0
Very happy with my purchase!,1
Excellent quality and fast shipping.,1
Very happy with my purchase!,1
Excellent quality and fast shipping.,1
It stopped working after a week.,0
Worst experience I've had online.,0
Excellent quality and fast shipping.,1
Very disappointed with the quality.,0
Excellent quality and fast shipping.,1
Customer support was useless.,0
Great value for money.,1
"Terrible product, do not buy.",0
Superb quality and fast arrival.,1
"Amazing experience, will buy again.",1
Very happy with my purchase!,1
Customer support was useless.,0
I will never order from here again.,0
I will never order from here again.,0
Great value for money.,1
Absolutely fantastic item.,1
"Amazing experience, will buy again.",1
Customer support was useless.,0
Worst experience I've had online.,0
Great value for money.,1
Worst experience I've had online.,0
I love this product!,1
Absolutely fantastic item.,1
This exceeded my expectations!,1
Slow delivery and bad packaging.,0
Very happy with my purchase!,1
Highly recommended for everyone!,1
This exceeded my expectations!,1
Top-notch service and delivery.,1
Worst experience I've had online.,0
Worst experience I've had online.,0
Slow delivery and bad packaging.,0
Excellent quality and fast shipping.,1
Customer support was useless.,0
"Amazing experience, will buy again.",1
Worst experience I've had online.,0
Great value for money.,1
Not worth the price at all.,0
This exceeded my expectations!,1
Great value for money.,1
It stopped working after a week.,0
Very disappointed with the quality.,0
Highly recommended for everyone!,1
Absolutely fantastic item.,1
I love this product!,1
Worst experience I've had online.,0
Not worth the price at all.,0
Superb quality and fast arrival.,1
Highly recommended for everyone!,1
It stopped working after a week.,0
"Horrible experience, waste of money.",0
Very disappointed with the quality.,0
Highly recommended for everyone!,1
Great value for money.,1
Customer support was useless.,0
Superb quality and fast arrival.,1
"Horrible experience, waste of money.",0
Top-notch service and delivery.,1
Highly recommended for everyone!,1
Not worth the price at all.,0
"Horrible experience, waste of money.",0
Absolutely fantastic item.,1
Customer support was useless.,0
I love this product!,1
Excellent quality and fast shipping.,1
Product broke after one use.,0
Very happy with my purchase!,1
Excellent quality and fast shipping.,1
"Terrible product, do not buy.",0
Very disappointed with the quality.,0
"Horrible experience, waste of money.",0
Product broke after one use.,0
"Terrible product, do not buy.",0
Worst experience I've had online.,0
It stopped working after a week.,0
Very happy with my purchase!,1
Slow delivery and bad packaging.,0
"Horrible experience, waste of money.",0
I will never order from here again.,0
Very disappointed with the quality.,0
Superb quality and fast arrival.,1
Product broke after one use.,0
Absolutely fantastic item.,1
I will never order from here again.,0
"Horrible experience, waste of money.",0
Absolutely fantastic item.,1
